,No.,Names,Party Name,	Constituency (State),profile Links
0,1,"A. Raja, Shri ",Dravida Munnetra Kazhagam,Nilgiris (SC)(Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=344
1,2,"Abbaiah, Shri Narayana Swamy",Bharatiya Janata Party,Chitradurga (SC)(Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5175
2,3,"Abdullah, Dr. Farooq",Jammu and Kashmir National Conference,Srinagar (Jammu and Kashmir),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=2654
3,4,"Adhikari,Shri Deepak (Dev)",All India Trinamool Congress,Ghatal (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4847
4,5,"Adhikari, Shri Dibyendu",All India Trinamool Congress,Tamluk (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4939
5,6,"Adhikari,Shri Sisir Kumar",All India Trinamool Congress,Kanthi (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4502
6,7,Adv. A. M. Ariff,Communist Party of India (Marxist),Alappuzha (Kerala),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5121
7,8,"Agrawal,Shri Rajendra",Bharatiya Janata Party,Meerut (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4267
8,9,"Ahluwalia,Shri S.S.",Bharatiya Janata Party,Bardhaman-Durgapur (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4793
9,10,"Ahmed, Smt. Sajda",All India Trinamool Congress,Uluberia (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4944
10,11,"Ajgalley, Shri Guharam",Bharatiya Janata Party,Janjgir-Champa (SC)(Chhattisgarh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4013
11,12,"Ajmal,Maulana Badruddin",All India United Democratic Front,Dhubri (Assam),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4436
12,13,"Ambareesh, Smt. Sumalatha",Independent,Mandya (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5180
13,14,"Angadi, Smt. Mangal Suresh",Bharatiya Janata Party,Belgaum (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5531
14,15,"Annadurai, Shri C.N.",Dravida Munnetra Kazhagam,Tiruvannamalai (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4969
15,16,"Annpurna Devi, Smt.",Bharatiya Janata Party,Kodarma (Jharkhand),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5116
16,17,"Ansari, Shri Afzal",Bahujan Samaj Party,Ghazipur (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4170
17,18,"Antony,Shri Anto ",Indian National Congress,Pathanamthitta (Kerala),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4571
18,19,"Aujla, Shri Gurjeet Singh",Indian National Congress,Amritsar (Punjab),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4940
19,20,"Azad, Smt.Sangeeta",Bahujan Samaj Party,Lalganj (SC)(Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5152
20,21,"B.N. , Shri Bache Gowda",Bharatiya Janata Party,Chikkballapur (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5173
21,22,"Baalu, Shri Thalikkottai Rajuthevar",Dravida Munnetra Kazhagam,Sriperumbudur (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=26
22,23,"Badal, Smt. Harsimrat Kaur",Shiromani Akali Dal,Bathinda (Punjab),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4433
23,24,"Badal, Shri Sukhbir Singh",Shiromani Akali Dal,Ferozpur (Punjab),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3652
24,25,"Baghel, Prof. S.P. Singh",Bharatiya Janata Party,Agra (SC)(Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=31
25,26,"Baghel, Shri Vijay",Bharatiya Janata Party,Durg (Chhattisgarh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5007
26,27,"Baheria, Shri Subhash Chandra",Bharatiya Janata Party,Bhilwara (Rajasthan),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3654
27,28,"Baij, Shri Deepak",Indian National Congress,Bastar (ST)(Chhattisgarh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5008
28,29,"Balyan, Dr. Sanjeev Kumar",Bharatiya Janata Party,Muzaffarnagar (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4921
29,30,"Bandi, Shri Sanjay Kumar",Bharatiya Janata Party,Karimnagar (Telangana),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5076
30,31,"Bandyopadhyay, Shri Sudip",All India Trinamool Congress,Kolkata Uttar (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=38
31,32,"Banerjee,Shri Abhishek",All India Trinamool Congress,Diamond Harbour (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4843
32,33,"Banerjee, Shri Kalyan",All India Trinamool Congress,Serampore (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4498
33,34,"Banerjee, Shri Prasun",All India Trinamool Congress,Howrah (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4583
34,35,"Bapat, Shri Girish Bhalchandra",Bharatiya Janata Party,Pune (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5198
35,36,"Barla, ShriJohn",Bharatiya Janata Party,Alipurduars (ST)(West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5034
36,37,"Barne, Shri Shrirang Appa",Shiv Sena,Maval (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4781
37,38,"Barq, Shri Shafiqur Rahman",Samajwadi Party,Sambhal (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3657
38,39,"Baruah, Shri Pradan",Bharatiya Janata Party,Lakhimpur (Assam),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4937
39,40,"Basavaraj, Shri Gangasandra Siddappa",Bharatiya Janata Party,Tumkur (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=46
40,41,"Basheer, Shri E. T. Mohammed",Indian Union Muslim League,Ponnani (Kerala),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4561
41,42,"Beesetti , Dr. Venkata Satyavathi",Yuvajana Sramika Rythu Congress Party,Anakapalle (Andhra Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5086
42,43,"Bellana, ShriChandra Sekhar",Yuvajana Sramika Rythu Congress Party,Vizianagaram (Andhra Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5102
43,44,"Beniwal, Shri Hanuman",Rashtriya Loktantrik Party,Nagaur (Rajasthan),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5205
44,45,"Benny, Shri Behanan",Indian National Congress,Chalakudy (Kerala),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5124
45,46,"Bey, Shri Horen Sing",Bharatiya Janata Party,Autonomous District (ST)(Assam),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5025
46,47,"Bhabhor, Shri Jaswantsinh Sumanbhai",Bharatiya Janata Party,Dahod (ST)(Gujarat),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4857
47,48,"Bhagat, Shri Sudarshan",Bharatiya Janata Party,Lohardaga (ST)(Jharkhand),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4329
48,49,"Bhagirath Choudhary, Shri",Bharatiya Janata Party,Ajmer (Rajasthan),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5203
49,50,"Bhamre, Dr. Subhash Ramrao",Bharatiya Janata Party,Dhule (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4678
50,51,"Bhargava, Shri Ramakant",Bharatiya Janata Party,Vidisha (Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5072
51,52,"Bhatia, Shri Sanjay",Bharatiya Janata Party,Karnal (Haryana),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5029
52,53,"Bhatt, ShriAjay",Bharatiya Janata Party,Nainital-Udhamsingh Nagar (Uttarakhand),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5003
53,54,"Bhatt, Smt. Ranjanben Dhananjay",Bharatiya Janata Party,Vadodara (Gujarat),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4927
54,55,"Bhavana Gawali (Patil),Ms. ",Shiv Sena,Yavatmal-Washim (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=135
55,56,"Bholanath (B.P. Saroj), Shri",Bharatiya Janata Party,Machhlishahr (SC)(Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5153
56,57,"Bhoumik, Km. Pratima",Bharatiya Janata Party,Tripura West (Tripura),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4983
57,58,"Bidhuri, Shri Ramesh",Bharatiya Janata Party,South Delhi (NCT of Delhi),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4854
58,59,"Bind, Dr. Ramesh Chand ",Bharatiya Janata Party,Bhadohi (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5138
59,60,"Birla, Shri Om",Bharatiya Janata Party,Kota (Rajasthan),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4716
60,61,"Bisen, Dr. Dhal Singh",Bharatiya Janata Party,Balaghat (Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5056
61,62,"Bisoyi, Smt. Pramila",Biju Janata Dal,Aska (Odisha),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4984
62,63,"Bista, ShriRaju",Bharatiya Janata Party,Darjeeling (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5042
63,64,"Bohra, Shri Ramcharan",Bharatiya Janata Party,Jaipur (Rajasthan),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4656
64,65,"Bordoloi, Shri Pradyut",Indian National Congress,Nawgong (Assam),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5108
