,No.,Names,Party Name,	Constituency (State),profile Links
180,181,"Karandlaje, Km. Shobha",Bharatiya Janata Party,Udupi Chikmagalur (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4616
181,182,"Karunanidhi, Smt. Kanimozhi",Dravida Munnetra Kazhagam,Thoothukkudi (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4960
182,183,"Kashyap, Shri Dharmendra Kumar",Bharatiya Janata Party,Aonla (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4595
183,184,"Kashyap, Shri Suresh Kumar",Bharatiya Janata Party,Shimla (SC)(Himachal Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5113
184,185,"Kaswan, Shri Rahul",Bharatiya Janata Party,Churu (Rajasthan),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4654
185,186,"Katara, Shri Kanakmal",Bharatiya Janata Party,Banswara (ST)(Rajasthan),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5206
186,187,"Kataria, Shri Rattan Lal",Bharatiya Janata Party,Ambala (SC)(Haryana),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=183
187,188,"Kateel, Shri Nalin Kumar",Bharatiya Janata Party,Dakshina Kannada (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4316
188,189,"Katheria, Prof. (Dr.) Ram Shankar",Bharatiya Janata Party,Etawah (SC)(Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4274
189,190,"Kathir Anand, Shri Durai Murugan ",Dravida Munnetra Kazhagam,Vellore (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5528
190,191,"Kaur, Smt. Preneet",Indian National Congress,Patiala (Punjab),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=186
191,192,"Kaushik, Shri Ramesh Chander",Bharatiya Janata Party,Sonipat (Haryana),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4601
192,193,"Kesineni, Shri Srinivas",Telugu Desam Party,Vijayawada (Andhra Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4701
193,194,"Khadse, Smt. Raksha Nikhil",Bharatiya Janata Party,Raver (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4722
194,195,"Khaleque,Shri Abdul",Indian National Congress,Barpeta (Assam),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5103
195,196,"Khan, ShriAbu Taher",All India Trinamool Congress,Murshidabad (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5052
196,197,"Kher, Smt. Kirron ",Bharatiya Janata Party,Chandigarh (Chandigarh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4775
197,198,"Khuba, Shri Bhagwanth",Bharatiya Janata Party,Bidar (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4632
198,199,"Kirtikar, Shri Gajanan Chandrakant",Shiv Sena,Mumbai-North-West (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4922
199,200,"Kishore, Shri Kaushal",Bharatiya Janata Party,Mohanlalganj (SC)(Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4710
